"country","year","life_expectancy_at_birth_SEX_MLE","life_expectancy_at_birth_SEX_BTSX","life_expectancy_at_birth_SEX_FMLE","bcg_immunization_coverage","dtp_immunization_coverage","hepb3_immunization_coverage","hib3_immunization_coverage","hpv_immunization_coverage","mcv1_immunization_coverage","mcv2_immunization_coverage","pab_immunization_coverage","pcv3_immunization_coverage","pol3_immunization_coverage","rotac_immunization_coverage","che_%_of_gdp","ext_%_of_che","gghe-d_%_of_che","oop_%_of_che","pvt-d_%_of_che","alc_consump_per_capita_liters_SEX_MLE","alc_consump_per_capita_liters_SEX_FMLE","alc_consump_per_capita_liters_SEX_BTSX","alc_expenditure_%_of_household","preterm_birth_rate_per_100","low_birth_weight_prevalence","pregnant_women_anaemia_prevalence_SEX_FMLE","pregnant_women_anaemia_prevalence_SEVERITY_MODERATE","pregnant_women_anaemia_prevalence_SEVERITY_MILD","pregnant_women_anaemia_prevalence_SEVERITY_TOTAL","pregnant_women_anaemia_prevalence_SEVERITY_SEVERE","pregnant_women_mean_hemoglobin","children_anaemia_prevalence_SEX_BTSX","children_anaemia_prevalence_SEVERITY_MILD","children_anaemia_prevalence_SEVERITY_MODERATE","children_anaemia_prevalence_SEVERITY_TOTAL","children_anaemia_prevalence_SEVERITY_SEVERE","children_mean_hemoglobin","thin_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-09","thin_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-19","thin_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-19","thin_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-19","thin_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-09","thin_children_prevalence_SEX_MLE_AGEGROUP_YEARS10-19","thin_children_prevalence_SEX_BTSX_AGEGROUP_YEARS10-19","thin_children_prevalence_SEX_FMLE_AGEGROUP_YEARS10-19","thin_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-09","overweight_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-09","overweight_children_prevalence_SEX_FMLE_AGEGROUP_YEARS10-19","overweight_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-19","overweight_children_prevalence_SEX_MLE_AGEGROUP_YEARS10-19","overweight_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-19","overweight_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-09","overweight_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-09","overweight_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-19","overweight_children_prevalence_SEX_BTSX_AGEGROUP_YEARS10-19","obese_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-09","obese_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-19","obese_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-09","obese_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-09","obese_children_prevalence_SEX_FMLE_AGEGROUP_YEARS10-19","obese_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-19","obese_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-19","obese_children_prevalence_SEX_MLE_AGEGROUP_YEARS10-19","obese_children_prevalence_SEX_BTSX_AGEGROUP_YEARS10-19","underweight_adults_prevalence_SEX_FMLE","underweight_adults_prevalence_SEX_BTSX","underweight_adults_prevalence_SEX_MLE","overweight_adults_prevalence_SEX_BTSX","overweight_adults_prevalence_SEX_MLE","overweight_adults_prevalence_SEX_FMLE","obese_adults_prevalence_SEX_BTSX","obese_adults_prevalence_SEX_MLE","obese_adults_prevalence_SEX_FMLE"
"MDG",2000,57.70895,58.73235,59.79081,72,57,NA,NA,NA,57,NA,58,NA,58,NA,3.99,1.7,46.29,43.32,52.01,2.40326,0.52117,1.46215,NA,NA,20,44.4,20.6,21.8,44.4,2.1,112,64.4,25.2,35.3,64.4,3.9,103,5.88464,9.2573,11.88906,6.56969,8.28659,14.29108,10.69648,7.02626,7.09838,5.25847,2.51032,3.4959,2.32067,2.99483,2.44233,3.86537,2.48313,2.41451,0.93057,0.22362,1.49935,0.34957,0.13968,0.54287,0.8555,0.4262,0.28443,22.0054,20.64883,19.28839,6.72627,6.97261,6.48063,0.94246,0.91215,0.97269
"GHA",2004,58.13847,59.79634,61.50927,92,80,80,80,NA,83,NA,77,NA,81,NA,2.76,18.27,26.15,48,55.59,8.28943,2.05816,5.11884,NA,NA,15.7,55.2,27,25.1,55.2,3.1,107,75.3,23.3,45.9,75.3,6.1,98,8.68287,8.64719,10.99683,6.24063,11.05443,10.96524,7.96935,4.89848,9.882,9.30668,10.46542,6.16793,4.44678,8.62318,12.36161,10.81694,11.13791,7.41891,5.02752,3.24609,4.73076,5.33104,2.10029,2.72305,2.21238,0.83142,1.45801,9.08769,10.65707,12.29546,22.25342,14.27645,29.89441,6.60653,2.58076,10.46274
"GBR",2016,79.08678,80.81034,82.49235,NA,94,NA,94,82,92,89,NA,92,94,90,9.73,0.01,81.28,15.39,18.71,16.69116,4.86056,10.64218,NA,7.71383,7,15.8,4.6,11.1,15.8,0.1,120,14.4,11.4,2.9,14.4,0.2,121,0.66776,1.47133,1.90839,1.01151,1.05574,2.37073,1.80007,1.19874,0.86639,30.71969,31.87655,29.57666,28.95686,30.47162,30.56253,30.64299,31.41321,30.37849,10.84741,10.06652,11.74627,9.90444,10.15481,10.65162,11.20775,10.91574,10.54523,1.74332,1.52058,1.28651,64.02205,68.48776,59.77231,27.1408,26.4429,27.80495
"AZE",2004,64.53028,67.38631,70.21029,82,77,50,NA,NA,67,67,NA,NA,78,NA,2.66,1.8,32.31,65.93,65.61,3.05617,0.48695,1.70007,NA,NA,11,38.3,16.4,20.7,38.3,1.3,113,39.5,24,15,39.5,0.5,113,4.03775,3.7336,3.97641,3.48624,3.35574,4.23722,3.75314,3.26932,3.68557,18.76695,15.29288,18.45034,18.3173,17.17409,17.35114,18.08225,15.87392,16.80468,4.98579,3.65927,4.53719,5.4648,2.94909,3.20851,2.76604,2.02178,2.48556,3.71531,2.68119,1.51239,49.10708,44.1331,53.50789,15.8999,7.57451,23.26593
"NLD",2021,79.58003,81.12479,82.64706,NA,95,93,94,66,93,90,NA,93,95,NA,11.29,0.01,69.73,9.38,30.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71038,1.36146,1.52937,1.18515,0.88661,1.82153,1.61595,1.40029,0.80074,21.05002,15.76731,18.53601,17.39331,17.52921,18.02736,19.57713,16.47208,16.59975,5.28902,4.00118,6.05162,4.48663,3.7812,4.6292,5.22733,4.85266,4.32974,2.23694,1.47703,0.69643,51.651,57.70986,45.75273,16.77178,16.52438,17.01263
"CPV",2013,71.34491,74.70387,77.86744,94,93,93,93,NA,91,89,92,NA,93,NA,5.29,15.27,57.77,24.25,26.96,8.73428,2.29792,5.47572,NA,NA,NA,38.8,17,20.4,38.8,1.4,114,49,25.6,22.5,49,0.9,109,9.44021,9.18541,9.08125,9.29207,7.00467,10.05221,9.64237,9.22289,8.20749,9.53314,13.26851,6.76398,5.4692,9.75967,11.88186,10.69308,12.8271,9.32351,3.48856,3.52288,2.90333,4.08835,3.25882,2.59946,1.69764,1.13388,2.184,6.29852,6.31184,6.32557,35.85225,28.48775,43.00184,10.35677,5.53892,15.03403
"PER",2020,69.45852,72.7754,76.7001,87,72,72,72,11,77,52,95,74,72,76,6.29,0.22,68.83,22.77,30.95,10.04077,2.98512,6.44698,NA,6.6841,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.90698,1.30758,1.73945,0.86385,1.60527,1.80748,1.33045,0.84223,1.2622,46.95476,36.24637,38.55071,34.2901,37.74819,38.27521,42.69048,36.92366,35.2569,19.72749,12.60568,23.13757,16.19667,10.80618,14.74301,16.82325,13.62207,12.23044,1.20203,1.07276,0.93802,65.60162,62.80497,68.28488,25.1392,20.86365,29.24142
"WSM",2002,68.09188,69.93319,71.93833,98,92,92,NA,NA,99,84,NA,NA,91,NA,4.49,9.77,76.05,13.3,14.18,6.58839,1.41931,4.09901,NA,NA,NA,40.8,17.5,22.2,40.8,1.1,114,33.9,19.7,13.4,33.9,0.8,115,0.79183,0.96942,1.11602,0.80815,1.39503,0.93491,0.88014,0.81909,1.10482,33.03487,44.44205,34.61217,35.63598,35.50085,24.60853,28.98075,36.47852,39.80024,9.02759,11.05825,10.8595,7.05194,13.74606,10.87754,10.71327,10.61836,12.0974,0.58945,0.40866,0.23979,80.03247,75.18274,85.22465,45.62031,34.93442,57.06075
"OMN",2005,70.81657,73.36146,77.33247,98,99,99,99,NA,98,97,94,NA,99,NA,2.26,NA,82.34,10.55,17.66,1.57781,0.24406,1.0419,NA,NA,13.4,35.4,13.6,21.4,35.4,0.4,115,35.8,23.1,12.6,35.8,0.2,114,8.21432,8.74581,9.53776,7.8855,8.53199,9.99849,8.92037,7.72494,8.37629,24.71263,20.45398,24.50064,24.40353,22.17501,17.99933,21.42217,19.64864,22.53066,8.90747,8.51039,9.46821,8.32416,8.60132,8.70476,8.88368,8.61592,8.609,7.61635,6.42739,5.65243,50.41365,49.13579,52.37414,19.78118,16.43648,24.9126
"GTM",2006,66.49044,69.85634,73.32225,96,89,89,89,NA,95,NA,70,NA,90,NA,6.36,3.28,32.47,61.52,64.24,3.71232,0.89808,2.27464,NA,NA,14.2,22.2,8.3,13.4,22.2,0.5,120,31.4,18.3,12.5,31.4,0.5,115,0.70798,1.04515,1.3261,0.75693,1.13298,1.43653,1.11502,0.78498,0.92307,19.72389,25.44732,18.91915,18.45895,20.80681,18.02297,18.88382,22.74327,21.90744,5.80458,4.65837,7.17894,4.39625,4.80853,5.37799,6.07946,5.45072,5.13382,2.17504,2.10032,2.02154,46.1767,40.16338,51.88062,14.44169,10.49362,18.18662
"CAF",2011,47.87876,49.46797,51.38917,74,47,47,47,NA,49,NA,80,8,47,NA,3.68,28.88,11.3,58.58,59.82,4.06527,1.01125,2.535,NA,NA,15.8,53.3,25,25.8,53.3,2.5,108,77.3,22.6,47.5,77.3,7.2,97,6.47216,8.86892,11.09667,6.6081,7.91763,13.04787,9.89134,6.6913,7.20084,12.11993,10.88943,9.71464,8.23835,9.78579,8.17286,10.16262,9.85799,9.55482,3.16882,2.61649,3.74785,2.58018,2.63872,2.67293,2.72855,2.10293,2.36899,19.38015,21.61792,23.87112,15.72316,11.75132,19.6678,4.83827,2.99498,6.66894
"GTM",2004,66.49353,69.65899,72.92473,98,87,NA,NA,NA,95,NA,70,NA,88,NA,6.26,3.08,32.32,60.04,64.6,3.73665,0.90445,2.29004,NA,NA,14.1,24,9.3,14.1,24,0.6,119,32.8,19.3,12.9,32.8,0.6,115,0.68844,1.02898,1.31326,0.73706,1.12489,1.42337,1.09906,0.76558,0.90931,19.20515,25.09854,18.4757,18.04931,20.39935,17.73213,18.47757,22.37477,21.52475,5.48692,4.48492,6.71012,4.2337,4.6323,5.09403,5.68718,5.08923,4.86395,2.22357,2.13807,2.04794,44.46636,38.42424,50.19766,13.34676,9.58306,16.91683
"AUS",2017,80.83699,82.67971,84.5169,NA,95,95,94,72,94,93,NA,94,95,89,10.12,0,71.26,16.6,28.74,15.77073,4.7839,10.19031,NA,8.10193,6.5,15.3,4.4,10.8,15.3,0.1,121,12.4,10.1,2.3,12.4,0.1,122,0.80727,1.44413,1.89466,0.96912,1.35593,2.1837,1.63487,1.05603,1.08877,35.34181,33.19808,34.69088,34.34164,34.1969,34.56624,34.96417,33.6761,33.78508,14.36084,11.94307,16.1127,12.51493,11.63598,13.40592,14.79338,14.08556,12.89336,1.9679,1.49754,1.01005,64.62888,70.95948,58.52074,29.14901,29.61454,28.69985
"LCA",2018,72.49976,76.11273,79.97258,99,95,95,95,NA,86,68,NA,NA,95,NA,4.19,0.5,47.42,46.11,52.08,15.14699,3.94268,9.47123,NA,NA,16.2,19,6.8,12,19,0.3,122,22.2,14,7.8,22.2,0.5,120,3.0927,3.79565,4.64611,2.91523,3.88495,4.96459,3.92093,2.84112,3.49595,35.36221,36.66701,31.32793,29.63992,33.45701,33.25239,34.32629,35.66111,33.09363,19.86908,16.32694,21.75622,17.91277,15.66469,16.83331,17.32245,15.46729,15.56431,3.38105,3.94276,4.5212,60.61108,47.39589,73.44381,30.57369,17.80493,42.97292
"CHL",2017,78.22463,80.65876,83.02481,96,93,93,93,72,93,90,NA,93,93,NA,9.09,0,50.4,33.31,49.6,10.12339,2.97179,6.49668,NA,8.37551,6.6,19.3,6.8,12.2,19.3,0.3,121,19.5,14.3,5.1,19.5,0.2,120,0.55918,0.83579,1.1395,0.51969,0.95188,1.23293,0.87384,0.50001,0.75942,64.40169,49.89532,54.51598,49.59327,52.73792,52.87796,58.75382,50.88726,49.74126,33.10777,19.88373,41.10229,24.79053,17.43872,24.63264,29.19527,23.26603,20.41098,1.09746,0.77447,0.44094,75.25418,75.17064,75.33509,34.60929,29.01484,40.02686
"SOM",2020,52.84961,55.12926,57.60881,37,42,42,42,NA,46,NA,60,NA,47,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.74667,7.16639,8.86736,5.42012,5.76434,10.90362,8.41504,5.86149,5.26239,13.15111,12.48683,9.39768,6.93462,10.51408,10.3989,11.79362,11.6602,9.67495,4.27131,3.0739,5.05374,3.46742,2.816,3.14986,3.22384,2.02303,2.41441,12.66765,18.92202,25.31278,29.64822,16.32847,42.68372,11.66618,4.32834,18.84743
"IDN",2010,67.54349,69.23626,70.9325,88,81,83,NA,NA,78,74,85,NA,82,NA,2.79,0.86,23.69,60.58,75.46,0.18245,0.02558,0.10398,NA,NA,10.6,40.2,16.6,22.6,40.2,1,113,37.1,24.4,12.3,37.1,0.4,113,8.86314,10.38299,12.45357,8.19754,10.95929,13.21578,10.60928,7.85793,9.93941,13.19318,9.89227,10.14741,8.59382,10.36147,11.94983,12.58822,10.58741,9.22549,5.96772,3.23032,6.8651,5.02074,2.3168,3.7553,4.25268,2.92014,2.62663,12.41951,14.02552,15.63973,23.55619,16.80309,30.27495,5.28307,2.75906,7.79423
"HND",2007,70.144,70.94703,71.88242,99,94,93,93,NA,94,NA,94,NA,94,NA,8.08,5.82,41.24,49.8,52.94,5.41882,1.31725,3.3766,NA,NA,12,22.9,8,14.7,22.9,0.2,119,35.3,22.2,12.6,35.3,0.4,114,1.7627,2.26763,2.82189,1.68953,2.36886,3.08246,2.37953,1.64765,2.07263,27.34011,24.03464,24.57454,22.9839,23.83998,21.39519,24.43481,23.07381,23.49867,9.16118,6.53327,11.10579,7.12665,6.19363,7.76777,8.95134,7.71219,6.96823,3.88916,3.4096,2.93222,48.48883,46.03724,50.95166,17.39481,13.7203,21.08617
"MUS",2003,68.57506,71.84387,75.30421,99,99,97,NA,NA,91,NA,79,NA,99,NA,3.18,0.11,52.45,45.32,47.44,12.96872,2.90905,7.89803,NA,NA,19.5,33.9,13.3,20,33.9,0.6,115,28.3,17.9,9.9,28.3,0.5,116,9.46466,11.88714,13.49467,10.23972,9.92926,15.29418,12.98807,10.62887,9.70021,19.39246,13.77829,15.53297,13.58503,14.48185,12.66048,16.07354,13.40465,13.68056,4.49938,3.78633,5.74855,3.21476,4.0733,4.11691,4.43949,3.77879,3.92437,7.98618,7.10425,6.20565,44.77967,39.67655,49.78809,13.85851,8.73479,18.88715
"SRB",2017,73.05284,75.57063,77.96748,97,95,93,95,NA,86,91,NA,NA,95,NA,8.22,0.19,57.48,40.64,42.33,NA,NA,NA,NA,4.0919,6.2,25,9.3,15.3,25,0.4,118,18.7,14,4.6,18.7,0.1,120,2.39326,2.14591,2.05292,2.2449,2.07087,2.0443,2.1072,2.17405,2.22675,34.17993,23.22535,32.48157,31.66648,28.69636,27.68574,31.03979,24.66693,27.57439,13.05305,7.01067,15.68517,10.24163,5.46778,9.95108,12.71329,11.28699,8.46595,4.21458,2.7628,1.13918,58.15344,67.02693,50.21909,23.39587,23.65038,23.1683
"GMB",2018,62.61051,64.60661,66.66686,94,93,93,93,NA,91,71,92,93,93,93,3.34,38.48,31.98,22.44,29.54,1.91389,0.34476,1.11406,NA,NA,13.4,55.7,27,25.6,55.7,3.1,107,55.3,28,25.2,55.3,2,106,8.96509,10.19922,11.20435,9.17442,8.54249,12.90017,11.12104,9.30767,8.75169,13.79203,11.05397,10.88062,9.02583,10.81973,10.29214,12.05947,10.75765,10.03024,4.41295,3.12097,5.27948,3.52903,2.86122,3.41451,3.70242,2.69771,2.77869,11.58793,12.27354,12.9916,33.70559,28.96086,38.23592,10.91117,6.74854,14.8857
"BDI",2013,60.06413,61.79609,63.47268,95,96,96,96,NA,98,51,85,96,96,NA,8.63,59.32,17.86,20.86,22.83,6.71251,1.539,4.07595,NA,NA,15,40.7,17.9,21.3,40.7,1.5,113,52.3,25.4,24.8,52.3,2.1,107,5.75283,7.92158,9.36555,6.47294,6.28719,11.59655,9.29671,6.99294,6.02072,9.77609,5.98104,6.87655,4.77516,6.20512,4.90897,7.34903,5.53151,5.37759,2.23142,0.91605,3.26701,1.19029,0.71802,1.47101,2.02417,1.12344,0.9209,16.86736,15.68951,14.45984,11.69619,13.93387,9.55281,2.61916,2.9101,2.34048
"MNE",2019,73.88887,76.83999,79.72626,80,85,62,85,NA,33,81,NA,NA,85,NA,8.33,NA,60.84,38.56,39.16,16.8618,4.30631,10.34273,NA,NA,6.2,20.6,7.3,13,20.6,0.3,121,14.7,11.5,3.1,14.7,0.1,121,1.71059,2.04576,2.10051,1.9874,2.13088,2.08536,2.10366,2.12306,1.92868,35.98851,16.35462,32.22704,30.35103,26.11366,26.21247,31.28524,19.59684,23.55611,12.77812,4.99513,16.476,8.78971,3.13546,8.26831,11.33884,8.77672,6.03803,2.4766,1.77,1.00197,53.62427,58.99491,48.68321,19.61707,20.51258,18.79319
"TKM",2006,61.91352,65.67349,69.55482,99,98,98,NA,NA,99,99,NA,NA,98,NA,4.98,0.12,18.36,76.42,81.52,4.44336,0.74175,2.53529,NA,NA,5.4,30.1,12,17.4,30.1,0.7,117,33.9,18.6,14.7,33.9,0.7,115,4.9746,4.53753,4.64665,4.42472,3.75867,5.04419,4.61936,4.18214,4.35343,13.24625,12.3405,14.35174,14.84665,13.30727,11.9712,12.62258,12.22745,13.61159,3.15942,1.74894,3.7995,2.49091,1.42161,2.25128,2.73719,2.2616,1.84764,6.02133,4.39226,2.64353,42.13763,46.47376,38.0982,12.19183,9.52539,14.67581
"THA",2010,72.13947,75.29128,78.52358,99,99,98,NA,NA,98,91,91,NA,99,NA,3.39,0.13,73.77,14.5,26.1,12.46037,2.95672,7.56742,NA,7.25001,10.6,31.1,12.3,18.1,31.1,0.7,116,24.4,18,6.2,24.4,0.2,118,7.94951,7.62913,8.61713,6.58971,7.90748,8.9208,7.50203,6.01471,7.92787,23.40451,16.16106,20.39003,19.1001,18.34843,16.29403,19.95426,16.20058,17.66524,10.33858,5.66117,13.35748,7.13594,5.03756,7.99752,10.21831,8.87501,7.00153,7.35914,8.23052,9.16029,34.92355,28.79392,40.6682,9.30813,6.3094,12.11853
"BOL",2007,68.60912,69.47053,70.33891,87,84,84,84,NA,86,NA,71,NA,85,NA,4.7,4.58,59.09,30.76,36.33,6.77873,2.05966,4.42713,NA,NA,8.6,36.2,14.9,20.4,36.2,1,114,55.6,24.3,29.1,55.6,2.1,107,0.77189,1.07395,1.45152,0.68232,1.22496,1.5728,1.1123,0.63426,1.0024,34.62382,27.89473,25.91758,21.25687,26.80509,27.4106,31.08052,27.72568,24.51379,11.1703,6.08306,14.2027,8.02954,5.03869,7.63762,9.13634,6.42417,5.74437,1.69137,2.48193,3.26984,48.13879,42.23988,54.05754,15.78451,11.65893,19.92396
"CHE",2003,77.85748,80.4044,82.75894,NA,93,NA,91,NA,82,NA,NA,NA,95,NA,10.14,0,31.41,28.62,68.59,19.12659,5.54571,12.12283,NA,NA,6.3,13.1,3.7,9.1,13.1,0.3,121,11,8.8,2.1,11,0.1,123,1.14509,1.3729,1.45485,1.28661,1.23701,1.55812,1.4584,1.3535,1.19228,19.54475,24.41135,21.63821,22.63057,22.25595,19.72229,19.63115,22.90629,23.49846,4.84579,5.62886,5.21505,4.45629,6.18313,5.5582,5.49109,5.62194,5.89544,4.72238,3.04205,1.24395,45.2438,55.89088,35.29406,12.62433,14.33262,11.02793
"LBN",2000,74.2964,75.71501,77.00038,NA,83,83,NA,NA,71,56,NA,NA,83,NA,10.83,0.1,29.82,57.79,70.08,4.00847,0.63803,2.28251,NA,NA,12.3,29.7,11.9,17,29.7,0.8,117,26.1,17,8.5,26.1,0.5,117,2.02822,2.58456,3.21656,1.92356,2.93879,3.35827,2.63107,1.87008,2.49346,24.20461,21.10567,28.47732,30.65718,25.62268,25.63382,24.90358,22.63708,25.98984,8.70748,4.90678,10.90088,6.41598,4.13554,7.7681,10.50392,10.3014,7.28846,3.25204,2.84792,2.41878,53.50696,57.82015,49.44513,18.42599,16.99435,19.77419
"MEX",2001,72.16458,74.55107,76.92047,99,97,97,97,NA,95,99,83,NA,97,NA,4.82,NA,43.76,53.43,56.24,10.08283,2.53982,6.16331,NA,NA,10,27,10.8,15.4,27,0.8,118,30,17.1,12.4,30,0.4,117,2.03623,2.00117,2.21312,1.7868,2.06621,2.29285,1.97424,1.65482,2.05143,28.65298,30.55524,29.45698,29.89328,29.10356,25.32706,27.01312,28.7461,30.22384,9.84083,8.44366,11.39013,8.24789,8.54725,9.58122,10.70595,10.33467,9.4421,2.53238,2.24187,1.92563,58.13253,57.39409,58.81092,20.73366,16.81365,24.33488
"PHL",2016,65.61954,69.24554,73.30824,90,84,84,84,23,80,62,90,40,81,NA,3.95,2.27,37.26,50.49,60.47,9.48586,2.28647,5.89868,NA,7.70829,21.1,28.9,12.1,15.6,28.9,1.2,116,14.7,8,5.6,14.7,1.1,121,7.48627,10.16511,11.84441,8.3759,8.41465,13.7077,11.35159,8.85287,7.96715,12.08656,9.62111,11.13098,10.61184,10.36945,9.44049,10.81112,9.55807,10.13103,4.83771,2.74593,6.0361,3.54991,2.31488,3.63519,4.46983,3.61893,2.98606,12.02455,11.17922,10.33615,29.69047,26.88334,32.5051,6.70989,5.32888,8.0946
"NAM",2014,58.78644,61.94948,65.00579,97,88,88,88,NA,83,NA,85,NA,88,NA,8.41,6.02,46.18,9.04,47.79,10.01421,1.97456,5.80009,NA,NA,15.7,29.1,11,17.7,29.1,0.4,118,46.7,25,21,46.7,0.8,110,10.26503,10.573,11.13442,10.0243,7.60839,13.04023,11.44678,9.89567,8.94692,16.51648,8.44492,12.65863,10.57348,10.09653,5.99683,11.21622,7.59242,9.49487,3.57041,2.36558,4.72903,2.42947,2.33144,2.76923,3.18223,2.34619,2.33872,12.07117,14.85258,17.94121,29.60373,20.11085,38.1524,12.44627,6.39333,17.89716
"ETH",2017,66.3723,68.07267,69.7971,73,68,68,68,NA,58,NA,93,65,66,67,3.45,35.36,24.94,34.4,39.7,5.23264,0.94832,3.0828,NA,12.89856,NA,28.5,12.6,14.7,28.5,1.3,118,51.2,22.5,25.9,51.2,2.9,108,8.07628,15.89284,21.09172,10.51845,10.80608,26.98835,19.56251,11.90766,9.46722,6.27826,4.61779,3.78025,2.34817,4.25593,4.97598,5.63954,4.74766,3.46575,2.24826,1.24741,2.29495,2.19975,0.70568,1.21246,1.17866,0.5387,0.62092,22.10382,24.67474,27.27631,8.0193,4.95644,11.04607,1.6931,0.60976,2.76367
"BEN",2010,59.05814,61.30451,63.54981,90,76,76,76,NA,68,NA,92,NA,77,NA,3.01,29.45,24.99,43.51,45.56,10.77576,2.59342,6.61282,NA,6.86934,17.7,59.5,31.9,22.8,59.5,4.8,105,73.2,25.3,43.2,73.2,4.7,100,3.91391,6.618,9.28524,3.86667,7.13525,10.61813,7.28102,3.83735,5.54906,10.81334,11.39903,8.38069,6.87257,10.0319,12.2768,11.53394,11.73516,9.10023,4.29162,3.18646,4.33122,4.2508,2.52595,3.13353,3.08222,2.30791,2.41522,8.90187,9.21319,9.53856,22.34765,17.3538,27.12593,6.64635,3.76279,9.40545
"JPN",2009,79.88493,83.15818,86.29111,94,97,NA,NA,NA,94,92,NA,NA,99,NA,8.96,0,81.29,15.16,18.71,10.84551,2.94744,6.76839,NA,NA,11,24.7,11.2,11.9,24.7,1.7,116,15.2,12.4,2.8,15.2,0,121,1.56985,2.28587,2.78805,1.76074,2.10475,3.11263,2.4961,1.85141,1.84328,18.93614,11.72419,17.14247,16.29045,14.83957,13.92025,16.48425,12.43141,14.05833,4.55872,2.38097,6.09979,2.94718,2.11201,3.78644,5.13047,4.67003,3.41959,11.99279,8.67011,5.11111,23.29254,28.00391,18.89401,3.44307,3.80992,3.10058
"TUR",2002,71.11664,74.77352,78.42742,89,78,72,NA,NA,83,83,52,NA,78,NA,5.06,NA,69.97,20.32,30.03,4.22655,0.59483,2.40549,NA,NA,15.6,NA,14.2,19.1,34.3,1,115,NA,21.5,14.4,36.5,0.6,114,2.58789,2.73177,2.9236,2.53079,2.17277,3.31085,2.91535,2.50144,2.37526,17.09348,16.96768,16.66588,16.44534,16.63006,15.86276,16.49314,16.59254,16.70057,5.26095,3.80435,6.54788,3.90961,3.75025,4.46564,5.0968,4.34839,4.05612,3.04914,2.77058,2.48913,58.12738,54.57993,61.63845,23.18799,16.05537,30.24747
"ITA",2009,78.97905,81.52153,83.87319,NA,96,96,96,NA,90,NA,NA,66,96,NA,8.95,NA,78.31,20.66,21.69,11.50132,3.19715,7.17602,0.7,NA,6.9,18,6,11.6,18,0.4,120,12.2,9.9,2.2,12.2,0.1,122,1.00398,1.17824,1.31874,1.02908,1.14077,1.40562,1.22899,1.04136,1.07437,43.32534,26.32153,36.97604,33.87629,33.89229,39.40262,41.42132,30.61846,30.21307,18.20002,9.39603,21.04755,15.18097,6.56622,12.06569,14.58035,11.42305,9.06802,2.93445,1.85429,0.67418,55.39262,63.10902,48.32983,18.63723,18.52011,18.74443
"MMR",2019,65.69415,68.80518,72.0407,91,90,90,90,NA,84,80,90,90,90,NA,4.71,6.38,14.09,79.52,79.53,3.50165,0.7673,2.11591,NA,NA,12.5,47.8,20.3,26.2,47.8,1.3,110,49.6,26.4,22.1,49.6,1.1,109,8.69501,11.56137,14.49209,8.48705,11.73544,15.83153,12.19438,8.38662,10.25471,22.91404,8.92226,19.06947,17.20143,14.55857,11.6993,17.45232,9.82662,13.15671,8.50541,3.34066,11.82004,5.014,2.53256,6.16588,8.85912,7.42043,5.0325,13.26021,15.17678,17.15769,25.54479,19.52412,31.36988,6.71965,4.69531,8.67824
"ROU",2007,69.61976,73.13558,76.71082,99,96,99,NA,NA,97,96,NA,NA,96,NA,5.02,0.16,81.45,17.6,18.39,29.36847,8.1727,18.34342,NA,NA,9.8,26.6,10.4,15.6,26.6,0.7,118,33.3,20.5,12.4,33.3,0.5,115,5.62065,4.78197,5.1206,4.43257,5.91749,4.77967,4.35888,3.92483,5.77145,19.39719,10.9459,15.49457,13.82497,14.05385,16.36135,17.90361,12.5673,12.40774,5.8294,2.74665,6.94148,4.68108,1.91996,3.53793,4.30481,3.17681,2.55812,4.18679,3.18298,2.0885,53.48103,56.35238,50.84756,18.4387,16.96174,19.7933
