Location,Period,hpv_9_14_yo_girls_perc
Bolivia (Plurinational State of),2018,59
Bolivia (Plurinational State of),2017,64
Bosnia and Herzegovina,2023,5
Botswana,2023,32
Botswana,2022,20
Botswana,2021,21
Botswana,2020,0
Botswana,2019,43
Botswana,2018,0
Botswana,2017,0
Botswana,2016,73
Botswana,2015,64
Brazil,2023,73
Brazil,2022,72
Brazil,2021,67
Brazil,2020,71
Brazil,2019,67
Brazil,2018,67
Brazil,2017,91
Brazil,2016,71
Brazil,2015,49
Brazil,2014,60
Brunei Darussalam,2023,83
Brunei Darussalam,2022,83
Brunei Darussalam,2021,85
Brunei Darussalam,2020,81
Brunei Darussalam,2019,87
Brunei Darussalam,2018,88
Brunei Darussalam,2017,87
Brunei Darussalam,2016,85
Brunei Darussalam,2015,76
Brunei Darussalam,2014,80
Brunei Darussalam,2013,85
Brunei Darussalam,2012,88
Bulgaria,2023,6
Bulgaria,2022,4
Bulgaria,2021,2
Bulgaria,2020,3
Bulgaria,2019,4
Bulgaria,2018,6
Bulgaria,2017,4
Bulgaria,2016,3
Bulgaria,2015,4
Bulgaria,2014,14
Bulgaria,2013,20
Burkina Faso,2023,97
Burkina Faso,2022,16
Cote d'Ivoire,2023,73
Cote d'Ivoire,2022,37
Cote d'Ivoire,2021,38
Cote d'Ivoire,2020,12
Cabo Verde,2023,93
Cabo Verde,2022,93
Cambodia,2023,91
Cameroon,2023,66
Cameroon,2022,7
Cameroon,2021,5
Canada,2023,86
Canada,2022,86
Canada,2021,87
Canada,2020,87
Canada,2019,83
Canada,2018,83
Canada,2017,83
Canada,2016,79
Canada,2015,75
Canada,2014,74
Canada,2013,73
Chile,2023,83
Chile,2022,69
Chile,2021,59
Chile,2020,76
Chile,2019,84
Chile,2018,78
Chile,2017,72
Chile,2016,80
Chile,2015,77
Colombia,2023,52
Colombia,2022,11
Colombia,2021,11
Colombia,2020,9
Colombia,2019,10
Colombia,2018,9
Colombia,2017,3
Colombia,2016,2
Colombia,2015,7
Colombia,2014,17
Colombia,2013,52
Colombia,2012,87
Cook Islands,2023,50
Cook Islands,2022,8
Cook Islands,2019,73
Cook Islands,2018,70
Cook Islands,2017,69
Cook Islands,2016,41
Cook Islands,2015,83
Cook Islands,2014,99
Cook Islands,2013,48
Cook Islands,2011,74
Costa Rica,2023,66
Costa Rica,2022,71
Costa Rica,2021,57
Costa Rica,2020,74
Costa Rica,2019,39
Croatia,2023,55
Croatia,2022,55
Croatia,2021,47
Croatia,2020,21
Croatia,2019,25
Croatia,2018,16
Croatia,2017,7
Croatia,2016,3
Cyprus,2023,92
Cyprus,2022,73
Cyprus,2021,84
Cyprus,2019,64
Cyprus,2018,64
Cyprus,2017,57
Czechia,2023,72
Czechia,2022,72
Czechia,2021,72
Czechia,2020,71
Czechia,2019,67
Czechia,2018,65
Czechia,2017,65
Czechia,2016,63
Czechia,2015,67
Czechia,2014,70
Czechia,2013,74
Czechia,2012,74
Denmark,2023,80
Denmark,2022,78
Denmark,2021,82
Denmark,2020,82
Denmark,2019,62
Denmark,2018,54
Denmark,2017,36
Denmark,2016,16
Denmark,2015,55
Denmark,2014,66
Denmark,2013,75
Denmark,2012,72
Denmark,2011,68
Dominica,2023,65
Dominica,2022,73
Dominica,2021,67
Dominica,2020,66
Dominican Republic,2023,66
Dominican Republic,2022,13
Dominican Republic,2021,8
Dominican Republic,2020,4
Dominican Republic,2019,6
Dominican Republic,2018,30
Dominican Republic,2017,34
Ecuador,2023,50
Ecuador,2022,52
Ecuador,2021,2
Ecuador,2020,35
Ecuador,2019,54
Ecuador,2018,72
Ecuador,2017,86
Ecuador,2016,95
Ecuador,2015,99
Ecuador,2014,81
El Salvador,2023,36
El Salvador,2022,34
El Salvador,2021,24
Eritrea,2023,78
Estonia,2023,52
Estonia,2022,43
Estonia,2021,56
Estonia,2020,54
Estonia,2019,55
Estonia,2018,46
Eswatini,2023,59
Ethiopia,2023,29
Ethiopia,2022,25
Ethiopia,2021,22
Ethiopia,2020,24
Ethiopia,2019,24
Fiji,2023,68
Fiji,2022,49
Fiji,2021,50
Fiji,2020,89
Fiji,2019,52
Fiji,2018,45
Fiji,2017,50
Fiji,2016,47
Fiji,2015,60
Fiji,2014,80
Fiji,2013,53
Finland,2023,70
Finland,2022,70
Finland,2021,61
